Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Российский государственный гидрометеорологический университет ; 69.5; -0.3; 466; 0; Нет;бакалавриат;;;;0;0;0;0;f44e3e27-2211-4757-8829-24e75e6c53bd;192007 , Санкт-Петербург, ул. Воронежская, д.79;True;True;http://dovus.rshu.ru/file2984.pdf
 Санкт-Петербургский государственный морской технический университет; 71.6; 1.7; 970; 3; Нет;бакалавриат;100;195.0;231200;магистратура;37;40.0;247900;d33ab9cb-7133-4194-9d2f-1fae3d913c3d;190121, г.Санкт-Петербург, Лоцманская ул., 3;True;True;https://www.smtu.ru/ru/page/204/
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;100;195.0;231200;магистратура;37;40.0;247900;d33ab9cb-7133-4194-9d2f-1fae3d913c3d;190121, г.Санкт-Петербург, Лоцманская ул., 3;True;True;https://www.smtu.ru/ru/page/204/
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;25;159.0;157000;0;0;0;0;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
