Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;20;123.0;0;магистратура;0;39.0;29900;367000, Республика Дагестан, г.Махачкала, ул. Батырая, 2, Дворец спорта ДГУ;False;True
 Дагестанский государственный университет народного хозяйства ; 70.2; -7.1; 595; 0; Да;бакалавриат;0;103.0;25000;0;0;0;0;367008, Россия, Республика Дагестан, г.Махачкала, ул.Джамалутдина Атаева, дом 5;False;True
 Дальневосточный государственный университет путей сообщения ; 57.1; -1.7; 1091; 0; Да;бакалавриат;20;179.0;;0;0;0;0;680021, г.Хабаровск, ул.Серышева, д.47;True;True
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;150;201.0;210000;магистратура;20;0.0;290000;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;480;195.0;125900;магистратура;;;;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;0;123.0;38000;0;0;0;0;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;40;153.0;111600;магистратура;6;35.0;120162;153025, г.Иваново, ул.Ермака,39;False;True
 Ивановский государственный энергетический университет; 67.1; -0.3; 682; 0; Да;бакалавриат;36;210.0;113776;магистратура;6;35.0;120162;153003, г. Иваново, ул. Рабфаковская, 34;True;True
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;32;184.0;110800;0;0;0;0;426069, Удмуртская Республика, г. Ижевск, ул. Студенческая, д. 7;False;False
 Казанский государственный энергетический университет; 71.1; -1.4; 1045; 0; Да;бакалавриат;0;0.0;45000;магистратура;0;0.0;48000;Красносельская ул., дом 51, Казань, 420066;False;True
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;40;261.0;150840;магистратура;15;83.0;162480;420008, Республика Татарстан, г. Казань, ул. Кремлевская, д.18;False;True
 Калининградский государственный технический университет; 61.4; -4.6; 515; 0; Да;бакалавриат;5;0.0;45000;0;0;0;0;236022, г.Калининград, Советский проспект, 1;False;True
