Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Курский государственный университет; 68.9; 0.2; 855; 0; Да;бакалавриат;24;0.0;;0;0;0;0;b45d2692-a071-4ae5-a5da-ba2b514a93d9;305000, г.Курск, ул.Радищева, 33;False;True;https://kursksu.ru/pages/entrance2022_info
 Московский государственный университет имени М.В. Ломоносова; 90.2; -0.6; 3835; 496; Да;бакалавриат;;;;магистратура;;;;c0e2707c-2b2c-4ad6-833f-84d1c7a4f2df;119991,г. Москва, Ленинские Горы,д.1;True;True;http://cpk.msu.ru/files/2021/kcp_bak.pdf
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;;магистратура;;;;9dcc834c-4241-4fcd-b482-005315a24f28;634050, г. Томск, пр. Ленина 36;True;True;http://abiturient.tsu.ru/sites/default/files/prilozhenie_1.1_bakalavriat_i_specialitet_16032021.pdf
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;18;138.0;120960;0;0;0;0;16de6da3-7e1f-45d8-a41e-ae074e9cb94c;302026, г.Орел, ул.Комсомольская, д.95;False;True;http://oreluniver.ru/file/documents/count_mest_bak_2022.pdf
 Пермский государственный национальный исследовательский университет; 71.8; -2.5; 1472; 2; Нет;бакалавриат;46;153.0;142600;магистратура;14;57.0;151700;2801b9c9-a027-4b63-826a-b9aed8d1b98a;614068, г.Пермь, ул.Букирева, 15;False;True;http://www.psu.ru/universitet/normativnye-dokumenty/bazovye-normativnye-dokumenty/pravila-priema/pravila-priema-v-2022-godu-bakalavriat-specialitet#p1
 Рязанский государственный университет имени С.А. Есенина; 70.4; -2.6; 598; 0; Да;бакалавриат;12;120.0;130000;магистратура;8;0.0;58000;83c396a4-2ec8-4bf3-ab8f-6c9019de0985;390000, г. Рязань, ул. Свободы, д. 46;False;True;https://www.rsu.edu.ru/admission/rules-docs/plan-2/
 Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского; 69.9; 1.2; 1568; 3; Да;бакалавриат;;;;магистратура;;;;c8963b8c-56ef-4480-8fd1-69d204ca9855;410012, г.Саратов, ул.Астраханская, 83;False;True;https://www.sgu.ru/admission/priemnaya-kampaniya-2022
 Сибирский федеральный университет; 70.1; -1; 3337; 8; Да;бакалавриат;30;135.0;176934;0;0;0;0;ed090e19-9cf6-40f3-b40d-d4f69a2aabea;660041, Красноярский край, г. Красноярск, просп. Свободный, д. 79;True;True;https://admissions.sfu-kras.ru/exams
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;10;130.0;114000;магистратура;6;15.0;104000;eeaec74b-1739-42e4-9c36-02c2329fc9f9;392036, Центральный федеральный округ, Тамбовская область, г. Тамбов, ул. Интернациональная, 33;True;False;http://abiturient.tsutmb.ru/normativno_pravovoe_obespechenie_priema_2020_2021_goda/
 Тверской государственный университет; 68.6; -3.5; 856; 0; Да;бакалавриат;25;;130380;магистратура;10;;138870;b67da480-580c-4c77-b250-85a53beb6942;170100, г. Тверь, ул.Желябова, 33;False;True;https://priem.tversu.ru/
 Тюменский государственный университет; 77.9; -0.8; 1408; 18; Да;бакалавриат;10;0.0;0;0;0;0;0;768dfccd-97bb-4534-85e4-e048c214b9c4;625003, Тюменская область, г. Тюмень, ул. Семакова, д. 10;False;False;https://abiturient.utmn.ru/postuplenie/priemnaya-kampaniya-2022/kolichestvo-mest/
 Удмуртский государственный университет ; 67.2; -1.6; 1264; 6; Да;бакалавриат;30;163.0;131700;магистратура;;;;a6558ddd-86a6-4a6a-83bc-f678ef69a53d;426034, Удмуртская Республика, г. Ижевск, ул. Университетская, д. 1;False;False;https://udsu.ru/admissions/2022/vysshee-obrazovanie-bakalavriat-i-spetsialitet/quantity_2022
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;25;162.0;107860;магистратура;0;62.0;114250;8a6c9f76-166b-4805-8c42-fdf474e8aff6;428015, г.Чебоксары  Московский проспект,15;False;True;https://abiturient.chuvsu.ru/urovni/bakalavriat/byudzhetnye-mesta
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;22;173.0;130000;0;0;0;0;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
