university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Государственный университет морского и речного флота имени адмирала С.О. Макарова ; 67.8; -2.5; 1002; 0; Нет;бакалавриат;26;203.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»;7f000001-79c1-1a03-8179-c14e610f085e
 Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова; 63.6; -0.3; 658; 0; Да;бакалавриат;13;193.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова»;7f000001-79c1-1a03-8179-c14e4976072a
 Дагестанский государственный аграрный университет ; 67.0; -6.4; 324; 0; Нет;бакалавриат;;;Федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный аграрный университет имени М.М.Джамбулатова»;7f000001-79c1-1a03-8179-c14e5e290839
 Дагестанский государственный технический университет ; 59.8; -2; 622; 1; Да;бакалавриат;;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный технический университет""";7f000001-79c1-1a03-8179-c14e4983072b
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;20;123.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Дагестанский государственный университет""";7f000001-79c1-1a03-8179-c14e4991072c
 Дагестанский государственный университет народного хозяйства ; 70.2; -7.1; 595; 0; Да;бакалавриат;0;103.0;"Государственное автономное образовательное учреждение высшего образования ""Дагестанский государственный университет народного хозяйства""";7f000001-79c1-1a03-8179-c14e7a770931
 Дальневосточный государственный университет путей сообщения ; 57.1; -1.7; 1091; 0; Да;бакалавриат;20;179.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Дальневосточный государственный университет путей сообщения»;7f000001-79c1-1a03-8179-c14e5fe50850
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;150;201.0;ФГАОУ ВО «Дальневосточный федеральный университет» (ДВФУ);7f000001-79c1-1a03-8179-c14e57da07e7
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;480;195.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»;7f000001-79c1-1a03-8179-c14e49ad072e
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;0;123.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Забайкальский государственный университет""";7f000001-79c1-1a03-8179-c14e56a507da
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;40;153.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный университет""";7f000001-79c1-1a03-8179-c14e49c90730
 Ивановский государственный энергетический университет; 67.1; -0.3; 682; 0; Да;бакалавриат;36;210.0;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина»;7f000001-79c1-1a03-8179-c14e49e80732
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;32;184.0;ФГБОУ ВО «Ижевский государственный технический университет имени М.Т. Калашникова» (ИжГТУ имени М.Т. Калашникова);7f000001-79c1-1a03-8179-c14e49f90733
 Казанский государственный энергетический университет; 71.1; -1.4; 1045; 0; Да;бакалавриат;0;0.0;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный энергетический университет""";7f000001-79c1-1a03-8179-c14e4a7a073b
