Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Восточно-Сибирский государственный университет технологий и управления ; 52.2; -3.8; 588; 0; Да;бакалавриат;8;122.0;147000;0;0;0;0;4d3bda30-8650-40c7-93f2-3d7302eee693;670013, Республика Бурятия, г.Улан-Удэ, ул.Ключевская, д.40В, строение 1;True;True;https://www.esstu.ru/uportal/document/download.htm?documentId=23749
 Ивановский государственный политехнический университет; 64.5; -0.7; 379; 0; Нет;бакалавриат;15;153.0;33900;магистратура;;;36000;c714f17e-3881-4fe4-932e-332a9db06504;153000, Ивановская область,  г.Иваново, Шереметевский проспект, д.21;False;True;https://ivgpu.com/abitur
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;15;153.0;33900;магистратура;;;36000;c714f17e-3881-4fe4-932e-332a9db06504;153000, Ивановская область,  г.Иваново, Шереметевский проспект, д.21;False;True;https://ivgpu.com/abitur
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;20;0.0;46200;магистратура;63;40.0;165600;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Майкопский государственный технологический университет; 60.4; 2.2; 344; 0; Нет;бакалавриат;8;122.0;36000;0;0;0;0;9fd0441b-5d2d-462f-9ae4-3c20efe3c37a;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, д.191;False;True;http://www.mkgtu.ru/upload/files/kcp_na_20222023_uchgod%281%29.pdf
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;12;174.0;180000;магистратура;13;35.0;192800;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
 Санкт-Петербургский государственный университет промышленных технологий и дизайна; 79.5; -1.1; 906; 208; Да;бакалавриат;12;174.0;180000;магистратура;13;35.0;192800;1505234e-7e6c-4b3b-9fd9-b712810da33b;191186, г.Санкт-Петербург, ул.Большая Морская, д.18;False;True;http://prouniver.ru/uploads/priecom/2022/kcp_bc_22.pdf
