university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Волгоградский гос. медицинский ун-т.; 73.8; -1.8; 675; 0; Да
 Волгоградский гос. социально-педагогический ун-т.; 67.8; -1.3; 889; 0; Да
 Волгоградский гос. социально-педагогический ун-т.; 67.8; -1.3; 889; 0; Да
 Волгоградский гос. техн. ун-т.; 64.2; 0.3; 1198; 0; Да
 Волгоградский гос. техн. ун-т.; 64.2; 0.3; 1198; 0; Да
 Волгоградский гос. ун-т.; 69.0; -0.9; 969; 1; Да
 Волгоградский гос. ун-т.; 69.0; -0.9; 969; 1; Да
 Волжский гос. ун-т. водного транспорта, г. Нижний Новгород; 53.4; -0.3; 480; 0; Нет
 Волжский гос. ун-т. водного транспорта, г. Нижний Новгород; 53.4; -0.3; 480; 0; Нет
 Вологодская гос. молочнохозяйственная академия им. Н.В. Верещагина; 48.3; -5.4; 461; 0; Нет
 Вологодская гос. молочнохозяйственная академия им. Н.В. Верещагина; 48.3; -5.4; 461; 0; Нет
 Вологодский гос. ун-т.; 66.6; 0; 834; 0; Да
 Вологодский гос. ун-т.; 66.6; 0; 834; 0; Да
 Воронежский гос. аграрный ун-т. им. императора Петра I (бывшая им. К.Д. Глинки); 58.0; 0.1; 768; 0; Нет
 Воронежский гос. аграрный ун-т. им. императора Петра I (бывшая им. К.Д. Глинки); 58.0; 0.1; 768; 0; Нет
 Воронежский гос. лесотехн. ун-т. им. Г.Ф. Морозова; 64.8; 2.4; 352; 0; Нет
 Воронежский гос. лесотехн. ун-т. им. Г.Ф. Морозова; 64.8; 2.4; 352; 0; Нет
 Воронежский гос. медицинский ун-т. им. Н.Н. Бурденко ; 75.2; -2.5; 500; 0; Да
 Воронежский гос. медицинский ун-т. им. Н.Н. Бурденко ; 75.2; -2.5; 500; 0; Да
 Воронежский гос. педагогический ун-т.; 71.3; -1.2; 573; 0; Нет
 Воронежский гос. педагогический ун-т.; 71.3; -1.2; 573; 0; Нет
 Воронежский гос. техн. ун-т.; 66.2; 2; 1942; 6; Нет
 Воронежский гос. техн. ун-т.; 66.2; 2; 1942; 6; Нет
 Воронежский гос. ун-т.; 74.2; -0.2; 1734; 4; Нет
 Воронежский гос. ун-т.; 74.2; -0.2; 1734; 4; Нет
 Воронежский гос. ун-т. инженерных технологий; 65.9; 1.8; 624; 0; Да
 Воронежский гос. ун-т. инженерных технологий; 65.9; 1.8; 624; 0; Да
 Восточно-Сибирский гос. ун-т. технологий и управления, г. Улан-Удэ ; 52.2; -3.8; 588; 0; Да
 Восточно-Сибирский гос. ун-т. технологий и управления, г. Улан-Удэ ; 52.2; -3.8; 588; 0; Да
 Вятская гос. сельскохозяйственная академия, г. Киров; 60.1; 2; 353; 0; Да
 Вятская гос. сельскохозяйственная академия, г. Киров; 60.1; 2; 353; 0; Да
 Вятский гос. ун-т., г. Киров; 68.2; 0.1; 1827; 2; Да
 Вятский гос. ун-т., г. Киров; 68.2; 0.1; 1827; 2; Да
 Глазовский гос. педагогический ин-т. им. В.Г. Короленко; 66.5; -2.8; 440; 0; Да
 Глазовский гос. педагогический ин-т. им. В.Г. Короленко; 66.5; -2.8; 440; 0; Да
 Горно-Алтайский гос. ун-т.; 60.2; 1; 337; 0; Нет
 Горно-Алтайский гос. ун-т.; 60.2; 1; 337; 0; Нет
 Горский гос. аграрный ун-т., г. Владикавказ; 58.2; -1.9; 302; 0; Нет
 Горский гос. аграрный ун-т., г. Владикавказ; 58.2; -1.9; 302; 0; Нет
 Гос. аграрный ун-т. Северного Зауралья, г. Тюмень; 56.8; -3.1; 502; 0; Нет
 Гос. аграрный ун-т. Северного Зауралья, г. Тюмень; 56.8; -3.1; 502; 0; Нет
 Гос. гуманитарно-технол. ун-т., г. Орехово-Зуево; 66.0; -1.9; 370; 0; Нет
 Гос. гуманитарно-технол. ун-т., г. Орехово-Зуево; 66.0; -1.9; 370; 0; Нет
 Гос. социально-гуманитарный ун-т., г. Коломна; 69.7; 0.1; 365; 0; Нет
 Гос. социально-гуманитарный ун-т., г. Коломна; 69.7; 0.1; 365; 0; Нет
" Гос. ун-т. ""Дубна"""; 72.6; -1.3; 543; 2; Нет
" Гос. ун-т. ""Дубна"""; 72.6; -1.3; 543; 2; Нет
 Гос. ун-т. морского и речного флота им. адмирала С.О. Макарова, г. Санкт-Петербург; 67.8; -2.5; 1002; 0; Нет
 Гос. ун-т. морского и речного флота им. адмирала С.О. Макарова, г. Санкт-Петербург; 67.8; -2.5; 1002; 0; Нет
 Гос. ун-т. по землеустройству, г. Москва; 65.2; -1.3; 425; 0; Нет
 Гос. ун-т. по землеустройству, г. Москва; 65.2; -1.3; 425; 0; Нет
 Гос. ун-т. управления, г. Москва; 85.4; 1.7; 461; 4; Нет
 Гос. ун-т. управления, г. Москва; 85.4; 1.7; 461; 4; Нет
 Грозненский гос. нефтяной техн. ун-т. им. академика М.Д. Миллионщикова; 63.6; -0.3; 658; 0; Да
 Грозненский гос. нефтяной техн. ун-т. им. академика М.Д. Миллионщикова; 63.6; -0.3; 658; 0; Да
 Дагестанский гос. аграрный ун-т., г. Махачкала; 67.0; -6.4; 324; 0; Нет
 Дагестанский гос. аграрный ун-т., г. Махачкала; 67.0; -6.4; 324; 0; Нет
 Дагестанский гос. медицинский ун-т., г. Махачкала; 72.8; 1; 644; 0; Да
 Дагестанский гос. медицинский ун-т., г. Махачкала; 72.8; 1; 644; 0; Да
 Дагестанский гос. педагогический ун-т., г. Махачкала; 56.6; -0.4; 824; 0; Да
 Дагестанский гос. педагогический ун-т., г. Махачкала; 56.6; -0.4; 824; 0; Да
 Дагестанский гос. техн. ун-т., г. Махачкала; 59.8; -2; 622; 1; Да
 Дагестанский гос. техн. ун-т., г. Махачкала; 59.8; -2; 622; 1; Да
 Дагестанский гос. ун-т., г. Махачкала; 63.0; -0.4; 1025; 19; Нет
 Дагестанский гос. ун-т., г. Махачкала; 63.0; -0.4; 1025; 19; Нет
 Дагестанский гос. ун-т. народного хозяйства, г. Махачкала; 70.2; -7.1; 595; 0; Да
 Дагестанский гос. ун-т. народного хозяйства, г. Махачкала; 70.2; -7.1; 595; 0; Да
 Дальневосточный гос. аграрный ун-т., г. Благовещенск; 49.2; -1; 411; 0; Нет
 Дальневосточный гос. аграрный ун-т., г. Благовещенск; 49.2; -1; 411; 0; Нет
 Дальневосточный гос. медицинский ун-т., г. Хабаровск ; 66.3; -2.9; 454; 0; Нет
 Дальневосточный гос. медицинский ун-т., г. Хабаровск ; 66.3; -2.9; 454; 0; Нет
 Дальневосточный гос. техн. рыбохозяйственный ун-т., г. Владивосток; 50.9; -2.7; 399; 0; Нет
 Дальневосточный гос. техн. рыбохозяйственный ун-т., г. Владивосток; 50.9; -2.7; 399; 0; Нет
 Дальневосточный гос. ун-т. путей сообщения, г. Хабаровск; 57.1; -1.7; 1091; 0; Да
 Дальневосточный гос. ун-т. путей сообщения, г. Хабаровск; 57.1; -1.7; 1091; 0; Да
 Дальневосточный федеральный ун-т.; 73.0; -0.3; 2649; 25; Нет
 Дальневосточный федеральный ун-т.; 73.0; -0.3; 2649; 25; Нет
 Донской гос. аграрный ун-т., пос. Персиановский; 53.0; -10.9; 359; 0; Нет
 Донской гос. аграрный ун-т., пос. Персиановский; 53.0; -10.9; 359; 0; Нет
 Донской гос. техн. ун-т., г. Ростов-на-Дону; 62.2; 0.8; 2865; 0; Да
 Донской гос. техн. ун-т., г. Ростов-на-Дону; 62.2; 0.8; 2865; 0; Да
 Елецкий гос. ун-т. им. И.А. Бунина; 56.1; -2.7; 463; 0; Да
 Елецкий гос. ун-т. им. И.А. Бунина; 56.1; -2.7; 463; 0; Да
 Забайкальский гос. ун-т.; 58.4; -1.8; 818; 0; Нет
 Забайкальский гос. ун-т.; 58.4; -1.8; 818; 0; Нет
 Ивановская гос. медицинская академия; 71.7; -3.3; 358; 1; Да
 Ивановская гос. медицинская академия; 71.7; -3.3; 358; 1; Да
 Ивановский гос. политехн. ун-т.; 64.5; -0.7; 379; 0; Нет
 Ивановский гос. политехн. ун-т.; 64.5; -0.7; 379; 0; Нет
 Ивановский гос. ун-т.; 67.5; -0.3; 383; 0; Да
 Ивановский гос. ун-т.; 67.5; -0.3; 383; 0; Да
 Ивановский гос. химико-технол. ун-т.; 62.2; -1.1; 587; 0; Нет
 Ивановский гос. химико-технол. ун-т.; 62.2; -1.1; 587; 0; Нет
