university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements
 Томский гос. педагогический ун-т.; 66.4; -1.6; 485; 1; Да
 Томский гос. педагогический ун-т.; 66.4; -1.6; 485; 1; Да
 Томский гос. ун-т. систем управления и радиоэлектроники; 68.7; -0.3; 1236; 3; Нет
 Томский гос. ун-т. систем управления и радиоэлектроники; 68.7; -0.3; 1236; 3; Нет
 Тувинский гос. ун-т., г. Кызыл; 62.9; 7; 663; 0; Да
 Тувинский гос. ун-т., г. Кызыл; 62.9; 7; 663; 0; Да
 Тульский гос. педагогический ун-т. им. Л.Н. Толстого; 66.9; -4; 734; 3; Нет
 Тульский гос. педагогический ун-т. им. Л.Н. Толстого; 66.9; -4; 734; 3; Нет
 Тульский гос. ун-т.; 65.7; -2.2; 1393; 0; Да
 Тульский гос. ун-т.; 65.7; -2.2; 1393; 0; Да
 Тюменский гос. медицинский ун-т. ; 74.3; -2.1; 563; 2; Нет
 Тюменский гос. медицинский ун-т. ; 74.3; -2.1; 563; 2; Нет
 Тюменский гос. ун-т.; 77.9; -0.8; 1408; 18; Да
 Тюменский гос. ун-т.; 77.9; -0.8; 1408; 18; Да
 Тюменский индустриальный ун-т.; 66.1; -1; 2206; 2; Да
 Тюменский индустриальный ун-т.; 66.1; -1; 2206; 2; Да
 Удмуртский гос. ун-т., г. Ижевск; 67.2; -1.6; 1264; 6; Да
 Удмуртский гос. ун-т., г. Ижевск; 67.2; -1.6; 1264; 6; Да
 Ульяновский гос. педагогический ун-т. им. И.Н. Ульянова; 66.2; -1.4; 764; 0; Да
 Ульяновский гос. педагогический ун-т. им. И.Н. Ульянова; 66.2; -1.4; 764; 0; Да
 Ульяновский гос. техн. ун-т.; 66.8; 0.8; 888; 1; Да
 Ульяновский гос. техн. ун-т.; 66.8; 0.8; 888; 1; Да
 Ульяновский гос. ун-т.; 66.3; -1; 853; 0; Нет
 Ульяновский гос. ун-т.; 66.3; -1; 853; 0; Нет
 Ульяновский ин-т. гражданской авиации им. Главного маршала авиации Б.П. Бугаева; 73.0; -1.3; 423; 0; Да
 Ульяновский ин-т. гражданской авиации им. Главного маршала авиации Б.П. Бугаева; 73.0; -1.3; 423; 0; Да
 Ун-т. ИТМО, г. Санкт-Петербург; 93.7; 0.6; 1336; 512; Да
 Ун-т. ИТМО, г. Санкт-Петербург; 93.7; 0.6; 1336; 512; Да
 Уральский гос. аграрный ун-т., г. Екатеринбург; 63.2; 2.4; 458; 0; Нет
 Уральский гос. аграрный ун-т., г. Екатеринбург; 63.2; 2.4; 458; 0; Нет
 Уральский гос. горный ун-т., г. Екатеринбург; 67.9; 0.4; 667; 0; Да
 Уральский гос. горный ун-т., г. Екатеринбург; 67.9; 0.4; 667; 0; Да
 Уральский гос. лесотехн. ун-т., г. Екатеринбург; 64.0; -0.6; 683; 0; Нет
 Уральский гос. лесотехн. ун-т., г. Екатеринбург; 64.0; -0.6; 683; 0; Нет
 Уральский гос. медицинский ун-т., г. Екатеринбург; 74.6; 2.1; 780; 1; Да
 Уральский гос. медицинский ун-т., г. Екатеринбург; 74.6; 2.1; 780; 1; Да
 Уральский гос. педагогический ун-т., г. Екатеринбург; 74.3; -0.5; 699; 2; Нет
 Уральский гос. педагогический ун-т., г. Екатеринбург; 74.3; -0.5; 699; 2; Нет
 Уральский гос. юридический ун-т., г. Екатеринбург; 83.5; -0.4; 441; 1; Нет
 Уральский гос. юридический ун-т., г. Екатеринбург; 83.5; -0.4; 441; 1; Нет
 Уральский федеральный ун-т. им. Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да
 Уральский федеральный ун-т. им. Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да
 Уфимский гос. авиационный техн. ун-т.; 69.2; -1.2; 1404; 7; Нет
 Уфимский гос. авиационный техн. ун-т.; 69.2; -1.2; 1404; 7; Нет
 Уфимский гос. нефтяной техн. ун-т.; 73.4; -2.8; 1766; 33; Да
 Уфимский гос. нефтяной техн. ун-т.; 73.4; -2.8; 1766; 33; Да
 Ухтинский гос. техн. ун-т.; 60.4; 2.6; 604; 0; Нет
 Ухтинский гос. техн. ун-т.; 60.4; 2.6; 604; 0; Нет
 Филиал Национального исследовательского ун-т.а «МЭИ» в г. Смоленске; 66.9; 3.7; 496; 0; Нет
 Филиал Национального исследовательского ун-т.а «МЭИ» в г. Смоленске; 66.9; 3.7; 496; 0; Нет
 Финансовый ун-т. при Правительстве РФ, г. Москва; 91.4; 2; 1480; 370; Да
 Финансовый ун-т. при Правительстве РФ, г. Москва; 91.4; 2; 1480; 370; Да
 Хакасский гос. ун-т. им. Н.Ф. Катанова, г. Абакан; 60.4; -1.7; 595; 0; Нет
 Хакасский гос. ун-т. им. Н.Ф. Катанова, г. Абакан; 60.4; -1.7; 595; 0; Нет
 Челябинский гос. ун-т.; 71.9; -0.3; 819; 12; Нет
 Челябинский гос. ун-т.; 71.9; -0.3; 819; 12; Нет
 Череповецкий гос. ун-т.; 65.7; 0.4; 967; 0; Нет
 Череповецкий гос. ун-т.; 65.7; 0.4; 967; 0; Нет
 Чеченский гос. педагогический ун-т., г. Грозный; 61.1; 2.8; 776; 0; Нет
 Чеченский гос. педагогический ун-т., г. Грозный; 61.1; 2.8; 776; 0; Нет
 Чеченский гос. ун-т. им. А.А. Кадырова; 57.1; -2; 2009; 0; Да
 Чеченский гос. ун-т. им. А.А. Кадырова; 57.1; -2; 2009; 0; Да
 Читинская гос. медицинская академия; 59.8; -2; 420; 0; Да
 Читинская гос. медицинская академия; 59.8; -2; 420; 0; Да
 Чувашская гос. сельскохозяйственная академия, г. Чебоксары; 47.8; -7.4; 330; 0; Да
 Чувашская гос. сельскохозяйственная академия, г. Чебоксары; 47.8; -7.4; 330; 0; Да
 Чувашский гос. педагогический ун-т. им. И.Я. Яковлева, г. Чебоксары; 67.0; 0; 545; 0; Нет
 Чувашский гос. педагогический ун-т. им. И.Я. Яковлева, г. Чебоксары; 67.0; 0; 545; 0; Нет
 Чувашский гос. ун-т. им. И.Н. Ульянова, г. Чебоксары; 70.3; 0.9; 1296; 1; Да
 Чувашский гос. ун-т. им. И.Н. Ульянова, г. Чебоксары; 70.3; 0.9; 1296; 1; Да
 Шадринский гос. педагогический ин-т.; 68.1; 0; 330; 0; Нет
 Шадринский гос. педагогический ин-т.; 68.1; 0; 330; 0; Нет
 Юго-Западный гос. ун-т., г. Курск; 67.8; -1; 637; 0; Да
 Юго-Западный гос. ун-т., г. Курск; 67.8; -1; 637; 0; Да
 Югорский гос. ун-т., г. Ханты-Мансийск ; 64.6; -3.3; 715; 2; Да
 Югорский гос. ун-т., г. Ханты-Мансийск ; 64.6; -3.3; 715; 2; Да
 Южно-Российский гос. политехн. ун-т. им. М.И. Платова, г. Новочеркасск; 59.5; 2.2; 942; 1; Да
 Южно-Российский гос. политехн. ун-т. им. М.И. Платова, г. Новочеркасск; 59.5; 2.2; 942; 1; Да
 Южно-Уральский гос. аграрный ун-т., г. Троицк; 52.5; -0.2; 445; 0; Да
 Южно-Уральский гос. аграрный ун-т., г. Троицк; 52.5; -0.2; 445; 0; Да
 Южно-Уральский гос. гуманитарно-педагогический ун-т. (ЧГПУ), г. Челябинск; 70.0; -0.5; 476; 2; Да
 Южно-Уральский гос. гуманитарно-педагогический ун-т. (ЧГПУ), г. Челябинск; 70.0; -0.5; 476; 2; Да
 Южно-Уральский гос. медицинский ун-т., г. Челябинск; 72.7; -3; 550; 1; Да
 Южно-Уральский гос. медицинский ун-т., г. Челябинск; 72.7; -3; 550; 1; Да
 Южный федеральный ун-т.; 76.7; 0.2; 3088; 34; Да
 Южный федеральный ун-т.; 76.7; 0.2; 3088; 34; Да
 Ярославский гос. медицинский ун-т. ; 74.4; -0.5; 443; 3; Да
 Ярославский гос. медицинский ун-т. ; 74.4; -0.5; 443; 3; Да
 Ярославский гос. педагогический ун-т. им. К.Д. Ушинского; 72.8; -2.1; 602; 0; Нет
 Ярославский гос. педагогический ун-т. им. К.Д. Ушинского; 72.8; -2.1; 602; 0; Нет
 Ярославский гос. техн. ун-т.; 69.3; -1.4; 686; 0; Нет
 Ярославский гос. техн. ун-т.; 69.3; -1.4; 686; 0; Нет
 Ярославский гос. ун-т. им. П.Г. Демидова; 74.1; -3.5; 883; 2; Да
 Ярославский гос. ун-т. им. П.Г. Демидова; 74.1; -3.5; 883; 2; Да
