36.04.02!Зоотехния
01.04.04!Прикладная математика
23.05.02!Транспортные средства специального назначения
21.03.02!Землеустройство и кадастры
37.03.01!Психология
44.04.04!Профессиональное обучение (по отраслям)
01.03.03!Механика и математическое моделирование
24.05.07!Самолето- и вертолетостроение
06.05.01!Биоинженерия и биоинформатика
19.04.04!Технология продукции и организация общественного питания
01.03.02!Прикладная математика и информатика
19.04.03!Продукты питания животного происхождения
21.03.01!Нефтегазовое дело
04.03.01!Химия
15.03.04!Автоматизация технологических процессов и производств
41.04.01!Зарубежное регионоведение
05.03.06!Экология и природопользование
08.04.01!Строительство
29.03.01!Технология изделий легкой промышленности
45.05.01!Перевод и переводоведение
53.04.04!Дирижирование
21.04.01!Нефтегазовое дело
49.03.02!Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
58.04.01!Востоковедение и африканистика
45.03.01!Филология
53.05.04!Музыкально-театральное искусство
50.04.01!Искусства и гуманитарные науки
25.05.03!Техническая эксплуатация транспортного радиооборудования
37.03.02!Конфликтология
49.03.03!Рекреация и спортивно-оздоровительный туризм
54.05.01!Монументально-декоративное искусство
45.04.02!Лингвистика
35.03.04!Агрономия
46.03.01!История
37.05.01!Клиническая психология
17.05.02!Стрелково-пушечное, артиллерийское и ракетное оружие
53.04.01!Музыкально-инструментальное искусство
01.03.04!Прикладная математика
11.04.03!Конструирование и технология электронных средств
08.03.01!Строительство
47.04.01!Философия
01.04.02!Прикладная математика и информатика
05.04.02!География
23.05.05!Системы обеспечения движения поездов
28.04.01!Нанотехнологии и микросистемная техника
05.04.04!Гидрометеорология
38.03.05!Бизнес-информатика
17.05.01!Боеприпасы и взрыватели
31.05.01!Лечебное дело
40.05.01!Правовое обеспечение национальной безопасности
28.04.02!Наноинженерия
36.04.01!Ветеринарно-санитарная экспертиза
24.03.02!Системы управления движением и навигация
38.04.05!Бизнес-информатика
31.05.02!Педиатрия
21.05.04!Горное дело
11.03.04!Электроника и наноэлектроника
15.03.02!Технологические машины и оборудование
53.03.04!Искусство народного пения
22.04.01!Материаловедение и технологии материалов
42.04.02!Журналистика
30.05.03!Медицинская кибернетика
23.04.03!Эксплуатация транспортно-технологических машин и комплексов
53.04.02!Вокальное искусство
51.04.04!Музеология и охрана объектов культурного и природного наследия
29.04.04!Технология художественной обработки материалов
27.05.01!Специальные организационно-технические системы
12.04.02!Оптотехника
07.04.03!Дизайн архитектурной среды
24.03.01!Ракетные комплексы и космонавтика
19.04.02!Продукты питания из растительного сырья
35.03.01!Лесное дело
01.04.01!Математика
54.03.02!Декоративно-прикладное искусство и народные промыслы
04.04.02!Химия, физика и механика материалов
18.04.02!Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
09.03.02!Информационные системы и технологии
24.05.03!Испытание летательных аппаратов
39.03.02!Социальная работа
04.03.02!Химия, физика и механика материалов
12.04.01!Приборостроение
18.03.02!Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
43.03.01!Сервис
17.03.01!Корабельное вооружение
14.03.01!Ядерная энергетика и теплофизика
27.03.05!Инноватика
18.03.01!Химическая технология
35.04.07!Водные биоресурсы и аквакультура
36.03.02!Зоотехния
50.03.01!Искусства и гуманитарные науки
41.04.02!Регионоведение России
44.03.01!Педагогическое образование
05.03.02!География
54.04.01!Дизайн
53.03.01!Музыкальное искусство эстрады
55.05.03!Кинооператорство
49.04.01!Физическая культура
22.03.02!Металлургия
41.03.05!Международные отношения
11.05.01!Радиоэлектронные системы и комплексы
03.04.01!Прикладные математика и физика
35.03.10!Ландшафтная архитектура
23.03.02!Наземные транспортно-технологические комплексы
11.05.02!Специальные радиотехнические системы
34.03.01!Сестринское дело
27.04.01!Стандартизация и метрология
37.04.01!Психология
44.04.02!Психолого-педагогическое образование
08.05.01!Строительство уникальных зданий и сооружений
15.03.06!Мехатроника и робототехника
16.05.01!Специальные системы жизнеобеспечения
23.04.02!Наземные транспортно-технологические комплексы
41.04.04!Политология
