university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Пермский+гос.+национальный+исследовательский+ун-т.; 71.8; -2.5;1472;2; Нет;0
;;;;;;
Пермский+национальный+исследовательский+политехн.+ун-т.; 69.0; -0.2;1822;0; Нет;https://ruvuz.ru/270000-upravlenie-v-tehnicheskih-sistemah
;;;;;;
Петербургский+гос.+ун-т.+путей+сообщения; 64.5; -0.1;1016;0; Нет;0
;;;;;;
Петрозаводский+гос.+ун-т.; 70.2; 0.6;1336;1; Нет;0
;;;;;;
Поволжский+гос.+технол.+ун-т.,+г.+Йошкар-Ола; 68.3; 2.4;1301;0; Нет;0
;;;;;;
Поволжский+гос.+ун-т.+телекоммуникаций+и+информатики,+г.+Самара; 62.7; 0.4;820;0; Нет;0
;;;;;;
Приволжский+исследовательский+медицинский+ун-т.,+г.+Нижний+Новгород; 76.2; -3.2;475;0; Да;https://ruvuz.ru/nizhnij-novgorod/350000-selskoe-lesnoe-i-ryibnoe-hozyajstvo/350405-sadovodstvo
;;;;;;
Псковский+гос.+ун-т.; 67.8; -2.5;600;0; Нет;0
;;;;;;
Российская+академия+народного+хозяйства+и+государственной+службы+при+Президенте+РФ,+г.+Москва; 93.6; 1.6;706;265; Да;https://ruvuz.ru/moskva/ranhigs
;;;;;;
Российский+гос.+аграрный+ун-т.+—+МСХА+им.+К.А.+Тимирязева,+г.+Москва; 67.4; 0.7;1887;3; Да;0
;;;;;;
Российский+гос.+геологоразведочный+ун-т.+им.+Серго+Орджоникидзе,+г.+Москва; 67.1; -0.8;382;0; Да;0
;;;;;;
Российский+гос.+гидрометеорологический+ун-т.,+г.+Санкт-Петербург; 69.5; -0.3;466;0; Нет;0
;;;;;;
Российский+гос.+гуманитарный+ун-т.,+г.+Москва; 84.8; -1.3;565;5; Да;0
;;;;;;
Российский+гос.+педагогический+ун-т.+им.+А.И.+Герцена,+г.+Санкт-Петербург; 79.7;1;1351;31; Да;0
;;;;;;
Российский+гос.+профессионально-педагогический+ун-т.,+г.+Екатеринбург; 73.2; -3.6;504;0; Нет;0
;;;;;;
Российский+гос.+социальный+ун-т.,+г+.+Москва; 76.6; 1.2;359;0; Да;0
;;;;;;
Российский+гос.+ун-т.+им.+А.Н.+Косыгина+(Технологии.+Дизайн.+Искусство),+г.+Москва; 77.1;1;1125;20; Да;0
;;;;;;
Российский+гос.+ун-т.+нефти+и+газа+им.+И.М.+Губкина,+г.+Москва; 83.0; 1.1;1240;39; Да;0
;;;;;;
Российский+национальный+исследовательский+медицинский+ун-т.+им.+Н.И.+Пирогова,+г.+Москва; 83.4; 0.2;1605;86; Да;https://ruvuz.ru/moskva/rnimu-imeni-ni-pirogova
;;;;;;
Российский+ун-т.+дружбы+народов,+г.+Москва; 86.3; 3.5;1029;202; Да;https://ruvuz.ru/moskva/rudn
;;;;;;
Российский+ун-т.+транспорта+(МИИТ); 64.0; 0.2;1757;0; Да;https://ruvuz.ru/vuzyipage5/rut-miit/230000-tehnika-i-tehnologii-nazemnogo-transporta
;;;;;;
Российский+химико-технол.+ун-т.+им.+Д.И.+Менделеева,+г.Москва; 79.3;-1;1387;42; Да;https://ruvuz.ru/moskva/rhtu
;;;;;;
Российский+экономический+ун-т.+им.+Г.В.+Плеханова,+г.+Москва; 88.7; 0.5;630;66; Да;https://ruvuz.ru/moskva/reu-imeni-gv-plehanova
;;;;;;
Ростовский+гос.+медицинский+ун-т.; 71.8; -3.5;875;1; Да;0
;;;;;;
Ростовский+гос.+ун-т.+путей+сообщения; 58.5; -3.1;766;0; Нет;0
;;;;;;
"Ростовский+гос.+экономический+ун-т.+""РИНХ"""; 71.1; -2.7;353;0; Да;0
;;;;;;
Рыбинский+гос.+авиационный+техн.+ун-т.+им.+П.А.+Соловьева; 60.5; -0.8;391;0; Да;0
;;;;;;
Рязанский+гос.+агротехнол.+ун-т.+им.+П.А.+Костычева; 55.6;0;409;0; Да;0
;;;;;;
Рязанский+гос.+медицинский+ун-т.+им.+И.П.+Павлова; 77.3; 0.3;479;1; Да;0
;;;;;;
Рязанский+гос.+радиотехн.+ун-т.; 65.6; 1.3;834;1; Нет;0
;;;;;;
Рязанский+гос.+ун-т.+им.+С.А.+Есенина; 70.4; -2.6;598;0; Да;0
;;;;;;
Самарский+гос.+аграрный+ун-т.; 54.2; -0.4;332;0; Нет;0
;;;;;;
Самарский+гос.+медицинский+ун-т.; 75.4; -2.3;763;1; Да;0
;;;;;;
Самарский+гос.+социально-педагогический+ун-т.; 71.1; -0.6;655;1; Нет;0
;;;;;;
Самарский+гос.+техн.+ун-т.; 68.1;1;2012;6; Нет;0
;;;;;;
Самарский+гос.+ун-т.+путей+сообщения; 54.5; -0.2;685;0; Нет;0
;;;;;;
Самарский+национальный+исследовательский+ун-т.+им.+академика+С.П.+Королева; 75.0; -0.2;2016;16; Нет;https://ruvuz.ru/samara/samarskij-universitet/institut-aviatsionnoj-tehniki
;;;;;;
Санкт-Петербургский+горный+ун-т.; 80.8; 2.3;1831;64; Нет;https://ruvuz.ru/sankt-peterburg/spgu
;;;;;;
Санкт-Петербургский+гос.+аграрный+ун-т.; 63.2; -3.5;386;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+архитектурно-строительный+ун-т.; 78.3; 0.4;1181;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+лесотехн.+ун-т.+им.+С.М.+Кирова; 75.0;0;543;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+морской+техн.+ун-т.; 71.6; 1.7;970;3; Нет;0
;;;;;;
Санкт-Петербургский+гос.+педиатрический+медицинский+ун-т.; 80.5; -0.4;677;2; Да;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.; 92.0; 0.1;2136;366; Да;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.+аэрокосмического+приборостроения; 81.3; 3.8;1356;11; Нет;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.+ветеринарной+медицины; 76.1; 2.2;409;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.+гражданской+авиации; 76.2; 0.8;438;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.+промышленных+технологий+и+дизайна; 79.5; -1.1;906;208; Да;0
;;;;;;
Санкт-Петербургский+гос.+ун-т.+телекоммуникаций+им.+М.А.+Бонч-Бруевича; 74.8; 0.7;921;0; Нет;0
;;;;;;
Санкт-Петербургский+гос.+экономический+ун-т.; 85.7; -0.3;512;12; Да;0
;;;;;;
Санкт-Петербургский+гос.+электротехн.+ун-т.+“ЛЭТИ”; 82.9; 0.3;1517;15; Да;0
;;;;;;
Санкт-Петербургский+политехн.+ун-т.+Петра+Великого; 82.6; 0.2;2958;133; Да;https://ruvuz.ru/sankt-peterburg/spbpu
;;;;;;
Саратовская+гос.+юридическая+академия; 79.8;-1;536;0; Да;0
;;;;;;
Саратовский+гос.+аграрный+ун-т.+им.+Н.И.+Вавилова; 55.2; -2.9;758;0; Нет;0
;;;;;;
Саратовский+гос.+медицинский+ун-т.; 75.0; -1.7;829;0; Да;0
;;;;;;
Саратовский+гос.+техн.+ун-т.; 66.5; 1.8;1098;0; Нет;0
;;;;;;
Саратовский+национальный+исследовательский+гос.+ун-т.+им.+Н.+Г.+Чернышевского; 69.9; 1.2;1568;3; Да;0
;;;;;;
Сахалинский+гос.+ун-т.,+г.+Южно-Сахалинск; 58.8; -1.3;327;1; Нет;0
;;;;;;
Севастопольский+гос.+ун-т.; 65.8; -0.6;1724;0; Да;0
;;;;;;
Северный+(Арктический)+федеральный+ун-т.+им.+М.В.+Ломоносова; 66.0; -2.5;1708;1; Да;https://ruvuz.ru/arhangelsk/safu-imeni-mv-lomonosova
;;;;;;
Северный+гос.+медицинский+ун-т.,+г.+Архангельск; 69.8; -2.3;474;1; Да;0
;;;;;;
Северо-Восточный+федеральный+ун-т.+им.+М.К.+Аммосова; 63.3; -0.8;2284;31; Нет;https://ruvuz.ru/yakutsk/svfu-imeni-mk-ammosova
;;;;;;
Северо-Западный+гос.+медицинский+ун-т.+им.+И.И.Мечникова,+г.+Санкт-Петербург; 78.0; -1.9;595;8; Да;0
;;;;;;
Северо-Кавказская+гос.+академия,+г.+Черкесск; 56.5; -7.2;369;0; Да;https://ruvuz.ru/cherkessk/skga
;;;;;;
Северо-Кавказский+горно-металлургический+ин-т.+(гос.+технол.+ун-т.)+,+г.+Владикавказ; 52.8;-6;617;0; Да;0
;;;;;;
Северо-Кавказский+федеральный+ун-т.; 72.1; 1.5;1610;3; Да;https://ruvuz.ru/stavropol/skfu
;;;;;;
Северо-Осетинская+гос.+медицинская+академия,+г.+Владикавказ; 70.1; -0.7;377;0; Да;https://ruvuz.ru/vladikavkaz/sogma
;;;;;;
Северо-Осетинский+гос.+ун-т.+им.+К.Л.+Хетагурова,+г.+Владикавказ; 65.7; -0.4;540;0; Нет;0
