university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link
Восточно-Сибирский+гос.+ун-т.+технологий+и+управления,+г.+Улан-Удэ; 52.2; -3.8;588;0; Да;0
;;;;;;
Вятская+гос.+сельскохозяйственная+академия,+г.+Киров; 60.1;2;353;0; Да;https://ruvuz.ru/kirov/vyatgsha
;;;;;;
Вятский+гос.+ун-т.,+г.+Киров; 68.2; 0.1;1827;2; Да;0
;;;;;;
Глазовский+гос.+педагогический+ин-т.+им.+В.Г.+Короленко; 66.5; -2.8;440;0; Да;0
;;;;;;
Горно-Алтайский+гос.+ун-т.; 60.2;1;337;0; Нет;0
;;;;;;
Горский+гос.+аграрный+ун-т.,+г.+Владикавказ; 58.2; -1.9;302;0; Нет;0
;;;;;;
Гос.+аграрный+ун-т.+Северного+Зауралья,+г.+Тюмень; 56.8; -3.1;502;0; Нет;0
;;;;;;
Гос.+гуманитарно-технол.+ун-т.,+г.+Орехово-Зуево; 66.0; -1.9;370;0; Нет;0
;;;;;;
Гос.+социально-гуманитарный+ун-т.,+г.+Коломна; 69.7; 0.1;365;0; Нет;0
;;;;;;
"Гос.+ун-т.+""Дубна"""; 72.6; -1.3;543;2; Нет;0
;;;;;;
Гос.+ун-т.+морского+и+речного+флота+им.+адмирала+С.О.+Макарова,+г.+Санкт-Петербург; 67.8; -2.5;1002;0; Нет;0
;;;;;;
Гос.+ун-т.+по+землеустройству,+г.+Москва; 65.2; -1.3;425;0; Нет;0
;;;;;;
Гос.+ун-т.+управления,+г.+Москва; 85.4; 1.7;461;4; Нет;https://ruvuz.ru/380000-ekonomika-i-upravlenie/380304-gosudarstvennoe-i-munitsipalnoe-upravlenie
;;;;;;
Грозненский+гос.+нефтяной+техн.+ун-т.+им.+академика+М.Д.+Миллионщикова; 63.6; -0.3;658;0; Да;0
;;;;;;
Дагестанский+гос.+аграрный+ун-т.,+г.+Махачкала; 67.0; -6.4;324;0; Нет;0
;;;;;;
Дагестанский+гос.+медицинский+ун-т.,+г.+Махачкала; 72.8;1;644;0; Да;https://ruvuz.ru/mahachkala/dgmu
;;;;;;
Дагестанский+гос.+педагогический+ун-т.,+г.+Махачкала; 56.6; -0.4;824;0; Да;0
;;;;;;
Дагестанский+гос.+техн.+ун-т.,+г.+Махачкала; 59.8;-2;622;1; Да;0
;;;;;;
Дагестанский+гос.+ун-т.,+г.+Махачкала; 63.0; -0.4;1025;19; Нет;https://ruvuz.ru/mahachkala/dgmu
;;;;;;
Дагестанский+гос.+ун-т.+народного+хозяйства,+г.+Махачкала; 70.2; -7.1;595;0; Да;0
;;;;;;
Дальневосточный+гос.+аграрный+ун-т.,+г.+Благовещенск; 49.2;-1;411;0; Нет;0
;;;;;;
Дальневосточный+гос.+медицинский+ун-т.,+г.+Хабаровск; 66.3; -2.9;454;0; Нет;0
;;;;;;
Дальневосточный+гос.+техн.+рыбохозяйственный+ун-т.,+г.+Владивосток; 50.9; -2.7;399;0; Нет;0
;;;;;;
Дальневосточный+гос.+ун-т.+путей+сообщения,+г.+Хабаровск; 57.1; -1.7;1091;0; Да;0
;;;;;;
Дальневосточный+федеральный+ун-т.; 73.0; -0.3;2649;25; Нет;https://ruvuz.ru/vladivostok/dvfu
;;;;;;
Донской+гос.+аграрный+ун-т.,+пос.+Персиановский; 53.0; -10.9;359;0; Нет;0
;;;;;;
Донской+гос.+техн.+ун-т.,+г.+Ростов-на-Дону; 62.2; 0.8;2865;0; Да;0
;;;;;;
Елецкий+гос.+ун-т.+им.+И.А.+Бунина; 56.1; -2.7;463;0; Да;0
;;;;;;
Забайкальский+гос.+ун-т.; 58.4; -1.8;818;0; Нет;https://ruvuz.ru/irkutsk
;;;;;;
Ивановская+гос.+медицинская+академия; 71.7; -3.3;358;1; Да;0
;;;;;;
Ивановский+гос.+политехн.+ун-т.; 64.5; -0.7;379;0; Нет;0
;;;;;;
Ивановский+гос.+ун-т.; 67.5; -0.3;383;0; Да;0
;;;;;;
Ивановский+гос.+химико-технол.+ун-т.; 62.2; -1.1;587;0; Нет;0
;;;;;;
Ивановский+гос.+энергетический+ун-т.; 67.1; -0.3;682;0; Да;0
;;;;;;
Ижевская+гос.+медицинская+академия; 73.4;-1;485;0; Да;https://ruvuz.ru/izhevsk/igma
;;;;;;
Ижевская+гос.+сельскохозяйственная+академия; 52.9; -0.7;562;0; Нет;https://ruvuz.ru/izhevsk/izhevskaya-gsha/350000-selskoe-lesnoe-i-ryibnoe-hozyajstvo/350306-agroinzheneriya/avtomobili-i-tehnicheskie-sistemyi-v-agrobiznese
;;;;;;
Ижевский+гос.+техн.+ун-т.+им.+М.Т.+Калашникова; 65.8; -1.3;981;4; Да;0
;;;;;;
Ингушский+гос.+ун-т.,+г.+Магас; 62.3; -3.1;709;0; Да;0
;;;;;;
Ин-т.+сферы+обслуживания+и+предпринимательства+(филиал)+Донского+государственного+технического+ун-т.а+в+г.+Шахты; 54.4; 2.7;331;0; Да;https://ruvuz.ru/shahtyi/filial-dgtu
;;;;;;
Иркутский+гос.+аграрный+ун-т.+им.+А.А.+Ежевского; 54.2; 0.5;471;0; Нет;0
;;;;;;
Иркутский+гос.+медицинский+ун-т.; 66.6; -5.1;469;0; Да;https://ruvuz.ru/irkutsk
;;;;;;
Иркутский+гос.+ун-т.; 67.2; 0.4;1752;2; Нет;https://ruvuz.ru/irkutsk
;;;;;;
Иркутский+гос.+ун-т.+путей+сообщения; 52.7; 0.9;665;1; Нет;https://ruvuz.ru/irkutsk
;;;;;;
Иркутский+национальный+исследовательский+техн.+ун-т.; 64.3;1;1559;2; Нет;https://ruvuz.ru/200000-tehnosfernaya-bezopasnost-i-prirodoobustrojstvo/200601-tehnosfernaya-bezopasnost
;;;;;;
Кабардино-Балкарский+гос.+аграрный+ун-т.+им.+В.М.+Кокова; 45.4; -0.6;360;0; Нет;https://ruvuz.ru/nalchik/kbgau
;;;;;;
Кабардино-Балкарский+гос.+ун-т.+им.+Х.М.+Бербекова,+г.+Нальчик; 72.0; 5.2;921;0; Нет;0
;;;;;;
Казанская+гос.+академия+ветеринарной+медицины+им.+Н.Э.+Баумана; 64.6;1;315;0; Да;https://ruvuz.ru/kazan/kgavm
;;;;;;
Казанский+гос.+аграрный+ун-т.; 56.7;-3;360;0; Да;0
;;;;;;
Казанский+гос.+архитектурно-строительный+ун-т.; 76.5; 1.4;429;0; Да;0
;;;;;;
Казанский+гос.+медицинский+ун-т.; 77.6; -3.1;509;8; Да;0
;;;;;;
Казанский+гос.+энергетический+ун-т.; 71.1; -1.4;1045;0; Да;0
;;;;;;
Казанский+национальный+исследовательский+техн.+ун-т.+им.+А.Н.Туполева; 75.4; 0.1;1436;14; Да;0
;;;;;;
Казанский+национальный+исследовательский+технол.+ун-т.; 67.0;-2;1819;0; Да;https://ruvuz.ru/kazan/knitu
;;;;;;
Казанский+(Приволжский)+федеральный+ун-т.; 80.0; -0.5;2893;10; Да;https://ruvuz.ru/kazan/kfu/430000-servis-i-turizm
;;;;;;
Калининградский+гос.+техн.+ун-т.; 61.4; -4.6;515;0; Да;0
;;;;;;
Калмыцкий+гос.+ун-т.,+г.+Элиста; 61.1; 1.9;729;0; Нет;0
;;;;;;
Калужский+гос.+ун-т.+им.+К.Э.+Циолковского; 75.2; 0.7;453;1; Нет;0
;;;;;;
Калужский+филиал+Московского+государственного+технического+ун-т.а+им.+Н.Э.+Баумана; 66.9; -0.3;531;0; Да;https://ruvuz.ru/moskva/mgtu-imeni-ne-baumana
;;;;;;
Карачаево-Черкесский+гос.+ун-т.+им.+У.Д.+Алиева; 59.6; 2.5;368;0; Нет;https://ruvuz.ru/karachaevsk/kchgu
;;;;;;
Кемеровский+гос.+медицинский+ун-т.; 67.5; -2.9;654;0; Да;0
;;;;;;
Кемеровский+гос.+ун-т.; 65.8; -0.1;1334;3; Нет;0
;;;;;;
Кировский+гос.+медицинский+ун-т.; 73.4; 0.5;375;0; Да;0
;;;;;;
Комсомольский-на-Амуре+гос.+техн.+ун-т.; 58.4; -0.5;666;0; Нет;0
;;;;;;
Костромская+гос.+сельскохозяйственная+академия; 53.7; -0.8;360;0; Да;https://ruvuz.ru/karavaevo/kgsha
;;;;;;
Костромской+гос.+ун-т.; 66.0; -0.5;703;0; Да;https://ruvuz.ru/irkutsk
;;;;;;
Красноярский+гос.+аграрный+ун-т.; 53.7; 0.1;599;0; Нет;0
;;;;;;
Красноярский+гос.+медицинский+ун-т.+им.+В.Ф.+Войно-Ясенецкого; 70.4; -4.6;476;5; Да;0
;;;;;;
