Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Государственный гуманитарно-технологический университет ; 66.0; -1.9; 370; 0; Нет;бакалавриат;30;70.0;198000;магистратура;10;93.0;50000;ab414709-733e-4034-aa7b-bee13b9c335e;142611, Московская область, Орехово-Зуевский городской округ, г.Орехово-Зуево, ул.Зеленая, д.22;False;True;https://ggtu.ru/doc_word/abitura/2021/vo/2.1.pdf
 Государственный социально-гуманитарный университет ; 69.7; 0.1; 365; 0; Нет;бакалавриат;15;189.0;197872;магистратура;15;73.0;98660;f7f9928b-8502-464d-8f14-6564ced175ce;140411,Московская область, г.Коломна ул.Зеленая д.30;False;True;http://gukolomna.ru/abitur/bachelor/priemKolMest
 Дагестанский государственный педагогический университет ; 56.6; -0.4; 824; 0; Да;бакалавриат;24;119.0;29000;магистратура;;;37440;f6db01de-2bb5-49e5-ad4c-b1524b0892f0;367003, Российская Федерация, Республика Дагестан, г. Махачкала, ул. М. Ярагского, д. 57.;False;True;http://dgpu.net/images/%D0%9F%D0%9A2022/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%BC%D0%B5%D1%81%D1%82_%D0%B4%D0%BB%D1%8F_%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0_2022%D0%B3%D0%BE%D0%B4.pdf
 Дагестанский государственный университет ; 63.0; -0.4; 1025; 19; Нет;бакалавриат;24;119.0;29000;магистратура;;;37440;f6db01de-2bb5-49e5-ad4c-b1524b0892f0;367003, Российская Федерация, Республика Дагестан, г. Махачкала, ул. М. Ярагского, д. 57.;False;True;http://dgpu.net/images/%D0%9F%D0%9A2022/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%BC%D0%B5%D1%81%D1%82_%D0%B4%D0%BB%D1%8F_%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0_2022%D0%B3%D0%BE%D0%B4.pdf
 Дальневосточный федеральный университет; 73.0; -0.3; 2649; 25; Нет;бакалавриат;20;239.0;190000;магистратура;17;38.0;265000;b1d399f2-cba7-428e-83a0-8f648c08f7aa;690950, Приморский край, г. Владивосток, ул. Суханова, д. 8;True;True;https://www.dvfu.ru/upload/medialibrary/4e4/cmsvctuegg5miib715u5ecte4x9mhmo0/%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%B1%D1%8E%D0%B4%D0%B6%D0%B5%D1%82%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%202022-23%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%D0%B0%20%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B0%D0%BC%20%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%82%D0%B5%D1%82%D0%B0.pdf
 Донской государственный технический университет ; 62.2; 0.8; 2865; 0; Да;бакалавриат;28;120.0;29100;0;0;0;0;1b74b22d-82f8-4d72-8c34-9c031d174bc5;344003, г.Ростов-на-Дону, пл.Гагарина, 1;True;True;https://donstu.ru/priemnaya-kampaniya/
 Забайкальский государственный университет; 58.4; -1.8; 818; 0; Нет;бакалавриат;20;137.0;38000;магистратура;10;32.0;134500;013c6781-1230-49aa-a965-6fb1326f849f;672039, Забайкальский край, город Чита, улица Александро-Заводская, дом 30;True;True;http://entrant.zabgu.ru/?page_id=9
 Ингушский государственный университет ; 62.3; -3.1; 709; 0; Да;бакалавриат;;;;магистратура;;;;af5a9db6-d42a-4243-9763-2c3c203aac5e;386001, Республика Ингушетия, г. Магас, проспект И. Зязикова, д. 7;False;True;http://inggu.ru/abitur/aspirant/Колич.мест%20для%20приема%20-%2029.03.22(26.04.)%20бакалавриат.pdf
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;0;0.0;134400;0;0;0;0;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;25;212.0;133320;магистратура;15;71.0;143280;cf12a1e1-a102-467f-a2df-f2a96ef1e8ad;420008, Республика Татарстан, г. Казань, ул. Кремлевская, д.18;False;True;https://admissions.kpfu.ru/priem-v-universitet/plan-priema-2021-kolichestvo-mest-vstupitelnye-ispytaniya-i-minimalnye-bally
