Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Кемеровский государственный университет; 65.8; -0.1; 1334; 3; Нет;бакалавриат;;;22500;магистратура;;;25000;d6de7b26-79ae-45e5-b657-517f90cc3adb;650000, Кемеровская область - Кузбасс, г. Кемерово, ул.Красная, д.6;False;True;https://kemsu.ru/upload/abiturient/kcp_2021_3.pdf
 Липецкий государственный технический университет; 63.4; -1.7; 571; 0; Нет;бакалавриат;0;0.0;54400;магистратура;0;0.0;57800;6482f0de-7da1-48ee-9c00-be821a58f0c4;398055, г. Липецк, ул. Московская, д. 30;False;True;https://www.stu.lipetsk.ru/struct/management/rector/pk/res/abit2022/stages/stage-main/b-3-mesta.pdf
 Майкопский государственный технологический университет; 60.4; 2.2; 344; 0; Нет;бакалавриат;12;130.0;36000;магистратура;2;15.0;47000;9fd0441b-5d2d-462f-9ae4-3c20efe3c37a;385000, Республика Адыгея, г.Майкоп, ул.Первомайская, д.191;False;True;http://www.mkgtu.ru/upload/files/kcp_na_20222023_uchgod%281%29.pdf
 Московский автомобильно-дорожный государственный технический университет (МАДИ); 65.7; -0.5; 794; 1; Да;бакалавриат;0;0.0;212400;магистратура;0;0.0;241500;b7b5e2a1-8473-4b30-a0ce-09e48c532bda;125319, г. Москва, Ленинградский проспект, 64;True;True;https://pk.madi.ru/59-plan-priema.html
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;18;243.0;302533;магистратура;5;70.0;324577;4477ba99-638d-4c7d-91eb-288dfbcee2ae;105005, г.Москва, 2-я Бауманская ул., д.5;True;True;https://api.www.bmstu.ru/file/89037/download
 Московский государственный университет пищевых производств; 76.8; 1.6; 591; 0; Да;бакалавриат;14;200.0;85000;магистратура;10;69.0;230000;cb80192e-7c2c-4232-b91a-9f9763ad4f89;125080, г.Москва, Волоколамское шоссе, д.11;False;True;https://mgupp.ru/abitur/bachelor/
 Московский политехнический университет; 76.1; 2.5; 1756; 35; Да;бакалавриат;;;;магистратура;22;40.0;269000;d9fd69da-2f68-4a93-aae0-6058fc175c09;107023 г. Москва, ул. Большая Семеновская д.38;False;True;https://new.mospolytech.ru/postupayushchim/priem-v-universitet/pravila-priema/
 Национальный исследовательский Томский политехнический университет; 74.8; -3.2; 1809; 54; Нет;бакалавриат;20;191.0;106358;0;0;0;0;29ca77c0-5f4a-41f8-affb-02c84cc42b09;634050, Томская область, г. Томск, просп. Ленина, д. 30;True;True;https://abiturient.tpu.ru/uploads/008e90e7daf883a68d53ac2e7a09ec8f.pdf
 Омский государственный технический университет; 64.4; 0.9; 1891; 1; Нет;бакалавриат;53;134.0;0;магистратура;22;67.0;69300;f690fe88-dbfe-4589-a0e5-ed63672bd15f;644050, г.Омск, пр. Мира, 11;True;True;https://www.omgtu.ru/entrant/regulatory-documents-for-entering-in-2019-bachelor-specialist-master/%D0%9F%D1%80%D1%82-11-30.10.2020-%D0%9A%D0%BE%D0%BB%D0%9C%D0%B5%D1%81%D1%82.pdf
 Пензенский государственный университет; 69.6; -2.1; 1522; 9; Да;бакалавриат;17;0.0;112140;0;0;0;0;f1bb004b-e12d-4f4d-9be1-54e0320dd3f3;440026, г.Пенза, ул.Красная, 40;True;True;https://pnzgu.ru/files/pnzgu.ru/abitur/2021/bak_spec/obschee_kolichestvo_mest_bs2021.pdf
