Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;15;191.0;190200;0;0;0;0;bd295655-44d9-4ebf-aacf-532fa788e1d3;656049, Алтайский край, г. Барнаул, ул. Ленина, д. 61;False;False;https://www.asu.ru/files/documents/00025000.pdf
 Крымский инженерно-педагогический университет ; 56.6;; 720; 0; Да;бакалавриат;;;;магистратура;;;;b7724a71-a87d-46bd-ae51-5187a2856cc9;295015, Республика Крым, г.Симферополь, переулок Учебный, д.8;False;True;https://kipu-rc.ru/downloads/2021/pk/12.pdf
 Курский государственный университет; 68.9; 0.2; 855; 0; Да;бакалавриат;5;181.0;206650;0;0;0;0;b45d2692-a071-4ae5-a5da-ba2b514a93d9;305000, г.Курск, ул.Радищева, 33;False;True;https://kursksu.ru/pages/entrance2022_info
 Марийский государственный университет ; 66.9; 1.2; 1277; 0; Нет;бакалавриат;0;0.0;70000;0;0;0;0;45e50d68-f320-4053-a31b-6ee1d1e2f48e;424000, Республика Марий Эл, г. Йошкар-Ола, площадь им. Ленина, д.1;False;True;https://marsu.ru/abitur/pravila/plan_priema/
 Пермский государственный гуманитарно-педагогический университет; 69.5; -1.6; 555; 0; Да;бакалавриат;0;0.0;182500;магистратура;0;0.0;227360;3e2a8aad-f057-4f1b-a753-deea1f933f45;614990, Пермский край, г. Пермь, ул. Сибирская, д. 24;False;False;https://pspu.ru/abitur/bachelor/#abitur_plan_priema
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;0;0.0;35000;магистратура;;;;eeaec74b-1739-42e4-9c36-02c2329fc9f9;392036, Центральный федеральный округ, Тамбовская область, г. Тамбов, ул. Интернациональная, 33;True;False;http://abiturient.tsutmb.ru/normativno_pravovoe_obespechenie_priema_2020_2021_goda/
 Удмуртский государственный университет ; 67.2; -1.6; 1264; 6; Да;бакалавриат;10;180.0;224500;0;0;0;0;a6558ddd-86a6-4a6a-83bc-f678ef69a53d;426034, Удмуртская Республика, г. Ижевск, ул. Университетская, д. 1;False;False;https://udsu.ru/admissions/2022/vysshee-obrazovanie-bakalavriat-i-spetsialitet/quantity_2022
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;0;0.0;26220;0;0;0;0;918d7167-278c-444d-853f-dfa0d42c7908;432017, г.Ульяновск, ул.Л.Толстого, 42;False;True;http://abiturient.ulsu.ru/tiles/general/
 Чувашский государственный университет имени И.Н. Ульянова ; 70.3; 0.9; 1296; 1; Да;бакалавриат;0;0.0;28500;магистратура;0;0.0;29500;8a6c9f76-166b-4805-8c42-fdf474e8aff6;428015, г.Чебоксары  Московский проспект,15;False;True;https://abiturient.chuvsu.ru/urovni/bakalavriat/byudzhetnye-mesta
