university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link to file
Российский+гос.+профессионально-педагогический+ун-т.,+г.+Екатеринбург; 73.2; -3.6;504;0; Нет;https://www.rsvpu.ru/abiturientu/;;http://rsvpu.ru/abitur/bachelor/plan-priema/
Российский+гос.+ун-т.+им.+А.Н.+Косыгина+(Технологии.+Дизайн.+Искусство),+г.+Москва; 77.1;1;1125;20; Да;https://kosygin-rgu.ru/abiturient/index.aspx;;https://kosygin-rgu.ru/abiturient/plan_priema.aspx;https://kosygin-rgu.ru/abiturient/napravlenianew1.aspx;https://kosygin-rgu.ru/vuz/aboutminobr/obr/napr/bak/090301.aspx;https://kosygin-rgu.ru/abiturient/plan_krim.aspx;https://kosygin-rgu.ru/filemanag/Uploads/abiturient/prikaziozachislenii/2020/0912/%D0%9F%D0%A0%D0%9E%D0%95%D0%9A%D0%A2%20%D0%BE%D1%82%2012.09.2020%20(%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F,%20%D0%BE%D1%87%D0%BD%D0%BE_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F).pdf;https://kosygin-rgu.ru/filemanag/Uploads/abiturient/prikaziozachislenii/2020/0912/%D0%9F%D0%A0%D0%9E%D0%95%D0%9A%D0%A2%20%D0%BE%D1%82%2012.09.2020%20(%D0%B1%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0%D0%B2%D1%80%D0%B8%D0%B0%D1%82%20%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%20%D0%BE%D1%87%D0%BD%D0%B0%D1%8F,%20%D0%BE%D1%87%D0%BD%D0%BE_%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%B0%D1%8F)%201.pdf;https://kosygin-rgu.ru/filemanag/Uploads/sveden/document/Othet_o_samoobsledovanii_Date13.04.2021%20n1.pdf;https://kosygin-rgu.ru/filemanag/Uploads/umo/08-06-2018/%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0%20477260-7.pdf;https://kosygin-rgu.ru/filemanag/Uploads/news/21-12-2020/%D0%A1%D0%98-2020%20%D0%A7%D0%B0%D1%81%D1%82%D1%8C%204.pdf
Российский+гос.+ун-т.+нефти+и+газа+им.+И.М.+Губкина,+г.+Москва; 83.0; 1.1;1240;39; Да;https://www.gubkin.ru/;;https://www.gubkin.ru/info/enrollee/admission_board/postupayushchim-v-bakalavriat/priyem-na-ochnuyu-formu-obucheniya/Pravila_priema__2021_b1__.pdf;https://www.gubkin.ru/Abitur/Priem_kol_mest_02.11.2021.pdf;https://www.gubkin.ru/info/enrollee/admission_board/postupayushchim-v-bakalavriat/priyem-na-ochnuyu-formu-obucheniya/Pravila_priema__2021__b1__.pdf;https://www.gubkin.ru/sveden/education/;https://www.gubkin.ru/departaments/educational_activities/umu/Otchet_UMU/%D0%98%D1%82%D0%BE%D0%B3%D0%B8%20%D0%B3%D0%BE%D0%B4%D0%B0%202020-2021%20%D0%BD%D0%B0%2030.08.2021.pdf;https://www.gubkin.ru/departaments/educational_activities/umu/praktika.php;https://www.gubkin.ru/sveden/document/Othet_o_samoobsledovanii_16.06.2021.pdf
Российский+гос.+социальный+ун-т.,+г+.+Москва; 76.6; 1.2;359;0; Да;https://rgsu.net/abitur/;;https://rgsu.net/abitur/bachelor/uchebnyy-plan-i-osnovnye-obrazovatelnye-programmy/;https://rgsu.net/abitur/choice/choice.html?Form=1&Type=2&TypeVPO=1&Budget=0;https://rgsu.net/abitur/choice/;https://rgsu.net/abitur/bachelor/prikazy-o-zachislenii/moskva/Osobaya-kvota-1/;https://rgsu.net/abitur/bachelor/informatsiya-o-kolichestve-podannyh-zayavleniy-o-prieme/;https://rgsu.net/abitur/bachelor/prikazy-o-zachislenii/moskva/obschiy-konkurs-3/ByudjetOchnaya/;https://rgsu.net/about/faculties/;https://rgsu.net/abitur/bachelor/prikazy-o-zachislenii/AnapaBakPrik/;https://rgsu.net/abitur/bachelor/;https://rgsu.net/about/branches/
Российский+химико-технол.+ун-т.+им.+Д.И.+Менделеева,+г.Москва; 79.3;-1;1387;42; Да;https://www.muctr.ru/abitur/;;https://www.muctr.ru/abitur/bachelor/courses/090301/;https://www.muctr.ru/abitur/bachelor/educational_plans/;https://www.muctr.ru/abitur/bachelor/courses/090302/;https://www.muctr.ru/abitur/bachelor/number-seats/;https://www.muctr.ru/abitur/bachelor/np/;https://ikt.muctr.ru/abiturientam;https://www.muctr.ru/upload/university/us/plan/20_21/admission_May.pdf;https://www.muctr.ru/abitur/bachelor/main_info/;https://muctr.ru/upload/university/us/plan/20_21/admission_fall2021.pdf
Российский+ун-т.+дружбы+народов,+г.+Москва; 86.3; 3.5;1029;202; Да;https://admission.rudn.ru/;;https://admission.rudn.ru/pk/files/bakmagadmissionrules.pdf
Российский+ун-т.+транспорта+(МИИТ); 64.0; 0.2;1757;0; Да;https://www.miit.ru/admissions/office;;https://www.miit.ru/admissions/degrees;https://www.miit.ru/admissions/search?query=16868313816;https://www.miit.ru/admissions/degrees?year=2020&city=1&level=4&training=20773;https://www.miit.ru/edu/programs/1012389;https://www.miit.ru/admissions/degrees/54743;https://www.miit.ru/admissions/degrees/54848;https://www.miit.ru/admissions/search?query=18175834398;https://www.miit.ru/sveden/vacant;https://www.miit.ru/admissions/degrees/54964;https://www.miit.ru/admissions
Российский+экономический+ун-т.+им.+Г.В.+Плеханова,+г.+Москва; 88.7; 0.5;630;66; Да;https://www.rea.ru/ru/org/managements/Pages/priem.aspx;;https://www.rea.ru/sveden/education/Documents/Bakalavriat/iceit/Opisanie_OP/OPOP_01.03.02_PMI_PMI_2021.pdf;https://www.rea.ru/sveden/education/Documents/Bakalavriat/iceit/Opisanie_OP/GIA_01.03.02_PMI_CEiBD_2021.pdf;https://www.rea.ru/abitur/bachelor.aspx;https://www.rea.ru/sveden/education/Documents/Bakalavriat/forsait/Rabochie-programmi/RP_30.03.02_ABD_v_Econom.pdf;https://www.rea.ru/sveden/education/Documents/Bakalavriat/iceit/Programmi_praktik/Pract_Pred_01.03.02_PMI_CEiBD_2021.pdf;https://www.rea.ru/sveden/education/;https://www.rea.ru/sveden/objects/;https://www.rea.ru/Documents/Othet_o_samoobsledovanii_01.04.2017.pdf;https://www.rea.ru/sveden/education/Documents/SPO_MTKP/Opisanie_OP/OPOP_38.02.04_K_BAS_%202020_9.pdf
Рыбинский+гос.+авиационный+техн.+ун-т.+им.+П.А.+Соловьева; 60.5; -0.8;391;0; Да;https://www.rsatu.ru/applicants/the_admissions_committee/39/;;https://www.rsatu.ru/sveden/eduStandarts/;https://www.rsatu.ru/sveden/education/;https://www.rsatu.ru/applicants/bakalavriat-i-spetsialitet/;https://www.rsatu.ru/applicants/directions_specialty_exams/detail.php?ID=376;https://rsatu.ru/upload/medialibrary/7bb/RGATU_-Pravila-priyema-na-2022_23-uchebnyy-god.pdf;https://www.rsatu.ru/upload/iblock/4ac/Samoobsledovanie-za-2020-god.pdf;https://www.rsatu.ru/arch/diss/terehova_as_diss.pdf
Рязанский+гос.+агротехнол.+ун-т.+им.+П.А.+Костычева; 55.6;0;409;0; Да;http://rgatu.ru/;;0
