Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Казанский государственный медицинский университет; 77.6; -3.1; 509; 8; Да;бакалавриат;0;0.0;32800;магистратура;15;70.0;38280;63db2dee-939b-44e6-805e-437135b91fbe;420012, Приволжский федеральный округ, Республика Татарстан, г.Казань, ул. Бутлерова, д.49;True;True;https://kazangmu.ru/files/priemcom/2021%20ГОД/31%20мая/Plan_priem_2021.pdff
 Казанский национальный исследовательский технологический университет; 67.0; -2; 1819; 0; Да;бакалавриат;30;166.0;44400;магистратура;12;40.0;49800;8fc8bb73-b6c9-4d53-b456-9fe66bc303b6;420015, Республика Татарстан, г.Казань, ул. К. Маркса, д.68;True;True;https://www.kstu.ru/article.jsp?id=2813&id_e=58594
 Кировский государственный медицинский университет; 73.4; 0.5; 375; 0; Да;бакалавриат;0;0.0;33000;0;0;0;0;1357b740-76f8-4ebc-a86f-f3f54d892fce;610027, Россия, Кировская область, город Киров, улица К. Маркса, 112;False;True;https://www.kirovgma.ru/sites/default/files/priemdocs/2021/kcp-29-10-2021-184944.pdf
 Кубанский государственный университет ; 76.6; 0.2; 1766; 7; Да;бакалавриат;20;187.0;40000;магистратура;12;78.0;50000;9476cfaa-2a3e-4135-9b62-954a0e5bbc48;350040, г.Краснодар, ул.Ставропольская, 149;False;True;https://www.kubsu.ru/sites/default/files/insert/page/2022_places_b_0.pdf
 Курский государственный медицинский университет; 73.5; -0.3; 551; 0; Да;бакалавриат;11;0.0;46665;0;0;0;0;078ad163-b4c7-417b-84cd-dbc3e8dd7888;305041, г.Курск, ул.Карла Маркса, д.3;False;True;https://kurskmed.com/upload/departments/admission_commission/2022/коммерция%2022-23.pdf
 Курский государственный университет; 68.9; 0.2; 855; 0; Да;бакалавриат;17;0.0;;0;0;0;0;b45d2692-a071-4ae5-a5da-ba2b514a93d9;305000, г.Курск, ул.Радищева, 33;False;True;https://kursksu.ru/pages/entrance2022_info
 Ленинградский государственный университет имени А.С. Пушкина ; 78.4; 0.1; 523; 1; Да;бакалавриат;0;0.0;65;0;0;0;0;b7680e10-5fdc-468f-af41-d7e64541c446;196605, г.Санкт-Петербург, г.Пушкин, Петербургское шоссе, д.10;False;True;https://lengu.ru/abitur/vsya-informatsiya-o-priyeme-2022-bakalavriat-spetsialitet/vsya-informatsiya-o-priyeme-2022-bakalavriat-magistratura
 Липецкий государственный педагогический университет; 64.9; -0.7; 579; 1; Да;бакалавриат;20;219.0;106550;0;0;0;0;90ab8680-bf5b-4377-8439-7e4dd4b97b4a;398020 г. Липецк, ул. Ленина, 42;False;True;https://lspu-lipetsk.ru/uploads/Abiturient/2022/LGPU_2022_kolichestvo_mest.pdf
 Мичуринский государственный аграрный университет; 53.8; -2.2; 501; 0; Нет;бакалавриат;0;0.0;25000;0;0;0;0;10687a60-5296-4867-aaf5-24ad9b42d7db;393760, Тамбовская область, г. Мичуринск, ул. Интернациональная, д. 101;False;True;http://mgau.ru/abitur/bachelor/index.php
 Московский городской педагогический университет; 87.2; 1.7; 1094; 82; Да;бакалавриат;15;236.0;89900;магистратура;15;197.0;258700;54cfb1dc-3fa9-400c-ad49-c574c898e210;129226, г.Москва, 2-ой Сельскохозяйственный проезд, д.4, корп. 1;False;True;https://www.mgpu.ru/pk/?dir=1.%20%D0%9F%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%202021%20%28%D0%B2%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%29/2.%20%D0%9A%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE%20%D0%BC%D0%B5%D1%81%D1%82%20%D0%B4%D0%BB%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%B0%20%D0%B2%202021%20%D0%B3%D0%BE%D0%B4%D1%83/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0
 Московский государственный медико-стоматологический университет; 81.9; -0.3; 642; 23; Да;бакалавриат;;;;магистратура;;;;137b3a8c-80d9-4665-8f21-ece6c6dc7bf4;127473, г.Москва, ул.Делегатская, д.20, стр. 1;True;True;https://www.msmsu.ru/obrazovanie/abiturient/postuplenie-v-2022-godu/kolichestvo-mest-v-2022-23-uchebnom-godu-dlya-priema-na-obuchenie-po-razlichnym-usloviyam-postupleni/
