Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;19;251.0;350300;магистратура;11;70.0;376255;4477ba99-638d-4c7d-91eb-288dfbcee2ae;105005, г.Москва, 2-я Бауманская ул., д.5;True;True;https://api.www.bmstu.ru/file/89037/download
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;0;0.0;250000;0;0;0;0;2fc60042-fdbe-4be4-a676-078abf1bdfe0;190000, г.Санкт-Петербург, ул.Большая Морская, д.67, лит.А;True;True;https://priem.guap.ru/calc
 Санкт-Петербургский государственный университет аэрокосмического приборостроения; 81.3; 3.8; 1356; 11; Нет;бакалавриат;0;0.0;250000;0;0;0;0;2fc60042-fdbe-4be4-a676-078abf1bdfe0;190000, г.Санкт-Петербург, ул.Большая Морская, д.67, лит.А;True;True;https://priem.guap.ru/calc
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;25;215.0;240000;магистратура;0;0.0;301000;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
