university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Волгоградский+гос.+аграрный+ун-т.; 55.5; -3.5;709;0; Нет;https://volgau.com/%D0%B0%D0%B1%D0%B8%D1%82%D1%83%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D1%83;
Волгоградский+гос.+медицинский+ун-т.; 73.8; -1.8;675;0; Да;https://www.volgmed.ru/ru/depts/list/22/;
Волгоградский+гос.+техн.+ун-т.; 64.2; 0.3;1198;0; Да;https://welcome.vstu.ru/#:~:text=%D0%A0%D0%B5%D0%B6%D0%B8%D0%BC%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B%20%D0%BF%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%BE%D0%B9%20%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B8&text=%D0%A2%D0%B5%D0%BB.%3A%20(8442)%2023,%3A%20prk%40vstu.ru.;
Волгоградский+гос.+ун-т.; 69.0; -0.9;969;1; Да;https://volsu.ru/Abitur/;
Волгоградский+гос.+социально-педагогический+ун-т.; 67.8; -1.3;889;0; Да;https://vspu.ru/abitur;
Восточно-Сибирский+гос.+ун-т.+технологий+и+управления,+г.+Улан-Удэ; 52.2; -3.8;588;0; Да;https://esstu.ru/uportal/priem/index.htm;
Воронежский+гос.+лесотехн.+ун-т.+им.+Г.Ф.+Морозова; 64.8; 2.4;352;0; Нет;https://vgltu.ru/;
Воронежский+гос.+аграрный+ун-т.+им.+императора+Петра+I+(бывшая+им.+К.Д.+Глинки); 58.0; 0.1;768;0; Нет;http://www.vsau.ru/;
Воронежский+гос.+педагогический+ун-т.; 71.3; -1.2;573;0; Нет;http://www.vspu.ac.ru/Abitur#:~:text=%D0%9F%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D1%8F%20%D0%92%D0%93%D0%9F%D0%A3%20%D1%80%D0%B0%D1%81%D0%BF%D0%BE%D0%BB%D0%B0%D0%B3%D0%B0%D0%B5%D1%82%D1%81%D1%8F%20%D0%BF%D0%BE,115.;
Воронежский+гос.+медицинский+ун-т.+им.+Н.Н.+Бурденко; 75.2; -2.5;500;0; Да;http://vrngmu.ru/entrance/priemnaya-komissiya/priemnaya-komissiya-po-spetsialnostyam-vysshego-professionalnogo-obrazovaniya/;
Воронежский+гос.+техн.+ун-т.; 66.2;2;1942;6; Нет;https://cchgeu.ru/abiturientu/;
Воронежский+гос.+ун-т.; 74.2; -0.2;1734;4; Нет;http://www.abitur.vsu.ru/vsu/PK;
Воронежский+гос.+ун-т.+инженерных+технологий; 65.9; 1.8;624;0; Да;https://vsuet.ru/abitur;
Вятская+гос.+сельскохозяйственная+академия,+г.+Киров; 60.1;2;353;0; Да;https://vgsha.info/priemnaja-komissija/;
Вятский+гос.+ун-т.,+г.+Киров; 68.2; 0.1;1827;2; Да;https://new.vyatsu.ru/admission/;
Глазовский+гос.+педагогический+ин-т.+им.+В.Г.+Короленко; 66.5; -2.8;440;0; Да;http://www.ggpi.org/;
Гос.+аграрный+ун-т.+Северного+Зауралья,+г.+Тюмень; 56.8; -3.1;502;0; Нет;http://www.tsaa.ru/priemnaya-komissiya/;
Гос.+гуманитарно-технол.+ун-т.,+г.+Орехово-Зуево; 66.0; -1.9;370;0; Нет;https://www.ggtu.ru/;
"Гос.+ун-т.+""Дубна"""; 72.6; -1.3;543;2; Нет;https://uni-dubna.ru/abitur;
Гос.+ун-т.+по+землеустройству,+г.+Москва; 65.2; -1.3;425;0; Нет;https://www.guz.ru/;
Гос.+ун-т.+морского+и+речного+флота+им.+адмирала+С.О.+Макарова,+г.+Санкт-Петербург; 67.8; -2.5;1002;0; Нет;https://gumrf.ru/Abitur;
Гос.+ун-т.+управления,+г.+Москва; 85.4; 1.7;461;4; Нет;http://priem.guu.ru/;
Гос.+социально-гуманитарный+ун-т.,+г.+Коломна; 69.7; 0.1;365;0; Нет;https://gukolomna.ru/abitur/priemnaya-komissiya/;
Горно-Алтайский+гос.+ун-т.; 60.2;1;337;0; Нет;https://www.gasu.ru/university/structure/adm/priemnaya-komissiya/;
Горский+гос.+аграрный+ун-т.,+г.+Владикавказ; 58.2; -1.9;302;0; Нет;https://gorskigau.ru/abitur;
Грозненский+гос.+нефтяной+техн.+ун-т.+им.+академика+М.Д.+Миллионщикова; 63.6; -0.3;658;0; Да;https://gstou.ru/;
Дальневосточный+гос.+аграрный+ун-т.,+г.+Благовещенск; 49.2;-1;411;0; Нет;https://www.dalgau.ru/;
Дальневосточный+гос.+медицинский+ун-т.,+г.+Хабаровск; 66.3; -2.9;454;0; Нет;http://www.fesmu.ru/;
Дальневосточный+гос.+техн.+рыбохозяйственный+ун-т.,+г.+Владивосток; 50.9; -2.7;399;0; Нет;https://dalrybvtuz.ru/Abitur/;
Дальневосточный+гос.+ун-т.+путей+сообщения,+г.+Хабаровск; 57.1; -1.7;1091;0; Да;https://abiturient.dvgups.ru/;
Дальневосточный+федеральный+ун-т.; 73.0; -0.3;2649;25; Нет;https://www.dvfu.ru/admission/;
Дагестанский+гос.+аграрный+ун-т.,+г.+Махачкала; 67.0; -6.4;324;0; Нет;https://xn--80aaiac8g.xn--p1ai/abitur;
Дагестанский+гос.+педагогический+ун-т.,+г.+Махачкала; 56.6; -0.4;824;0; Да;http://dgpu.net/ru/;
Дагестанский+гос.+медицинский+ун-т.,+г.+Махачкала; 72.8;1;644;0; Да;https://dgmu.ru/abitur/priemnaya-komissiya/;
Дагестанский+гос.+техн.+ун-т.,+г.+Махачкала; 59.8;-2;622;1; Да;http://dstu.ru/;
Дагестанский+гос.+ун-т.,+г.+Махачкала; 63.0; -0.4;1025;19; Нет;http://dgu.ru/Abitur/;
Дагестанский+гос.+ун-т.+народного+хозяйства,+г.+Махачкала; 70.2; -7.1;595;0; Да;http://www.dgunh.ru/;
Донской+гос.+аграрный+ун-т.,+пос.+Персиановский; 53.0; -10.9;359;0; Нет;https://www.dongau.ru/abitur/;
Донской+гос.+техн.+ун-т.,+г.+Ростов-на-Дону; 62.2; 0.8;2865;0; Да;https://donstu.ru/priemnaya-kampaniya/;
Ленинградский+гос.+ун-т.+им.+А.С.+Пушкина,+г.+Санкт-Петербург; 78.4; 0.1;523;1; Да;https://lengu.ru/abitur;
Липецкий+гос.+педагогический+ун-т.; 64.9; -0.7;579;1; Да;https://lspu-lipetsk.ru/modules.php?name=abitur;
Липецкий+гос.+техн.+ун-т.; 63.4; -1.7;571;0; Нет;https://www.stu.lipetsk.ru/struct/management/rector/pk/;
Филиал+Национального+исследовательского+ун-т.а+«МЭИ»+в+г.+Смоленске; 66.9; 3.7;496;0; Нет;https://mpei.ru/Structure/uchchast/uchchastpervpom/Smolensk;
Финансовый+ун-т.+при+Правительстве+РФ,+г.+Москва; 91.4;2;1480;370; Да;https://mskvuz.com/fa;
Челябинский+гос.+ун-т.; 71.9; -0.3;819;12; Нет;https://www.csu.ru/prospective-students;
Чеченский+гос.+педагогический+ун-т.,+г.+Грозный; 61.1; 2.8;776;0; Нет;https://chspu.ru/;
Чеченский+гос.+ун-т.+им.+А.А.+Кадырова; 57.1;-2;2009;0; Да;https://www.chesu.ru/;
Череповецкий+гос.+ун-т.; 65.7; 0.4;967;0; Нет;https://pk.chsu.ru/;
