Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Московский государственный технический университет имени Н.Э. Баумана; 82.7; 0.8; 3551; 201; Да;бакалавриат;45;220.0;302533;магистратура;5;74.0;324577;4477ba99-638d-4c7d-91eb-288dfbcee2ae;105005, г.Москва, 2-я Бауманская ул., д.5;True;True;https://api.www.bmstu.ru/file/89037/download
 Московский государственный университет геодезии и картографии; 70.9; -2.8; 467; 2; Да;бакалавриат;11;193.0;195000;магистратура;7;52.0;208500;c4a988d5-e80c-45f7-ae33-9e513600eae3;г.Москва, Гороховский пер.,4;True;True;http://www.miigaik.ru/applicants/number/
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;;магистратура;;;;9dcc834c-4241-4fcd-b482-005315a24f28;634050, г. Томск, пр. Ленина 36;True;True;http://abiturient.tsu.ru/sites/default/files/prilozhenie_1.1_bakalavriat_i_specialitet_16032021.pdf
 Национальный исследовательский Томский политехнический университет; 74.8; -3.2; 1809; 54; Нет;бакалавриат;28;146.0;106360;магистратура;20;58.0;109980;29ca77c0-5f4a-41f8-affb-02c84cc42b09;634050, Томская область, г. Томск, просп. Ленина, д. 30;True;True;https://abiturient.tpu.ru/uploads/008e90e7daf883a68d53ac2e7a09ec8f.pdf
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;20;157.0;0;магистратура;14;0.0;230000;2fc60042-fdbe-4be4-a676-078abf1bdfe0;190000, г.Санкт-Петербург, ул.Большая Морская, д.67, лит.А;True;True;https://priem.guap.ru/calc
 Санкт-Петербургский государственный университет аэрокосмического приборостроения; 81.3; 3.8; 1356; 11; Нет;бакалавриат;20;157.0;0;магистратура;14;0.0;230000;2fc60042-fdbe-4be4-a676-078abf1bdfe0;190000, г.Санкт-Петербург, ул.Большая Морская, д.67, лит.А;True;True;https://priem.guap.ru/calc
 Сибирский государственный университет геосистем и технологий ; 67.8; -1; 489; 0; Нет;бакалавриат;0;0.0;40812;магистратура;19;83.0;135660;56a52ade-1d79-499e-9a26-0d364402e32e;630108, г. Новосибирск, ул. Плахотного, д. 10;False;True;https://sgugit.ru/abitur/bachelor/#abitur_plan_priema
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;25;160.0;118400;магистратура;6;36.0;164800;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
