Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Алтайский государственный университет ; 74.4; 1.7; 1420; 23; Да;бакалавриат;25;198.0;101240;магистратура;;;;bd295655-44d9-4ebf-aacf-532fa788e1d3;656049, Алтайский край, г. Барнаул, ул. Ленина, д. 61;False;False;https://www.asu.ru/files/documents/00025000.pdf
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;15;185.0;110510;0;0;0;0;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Марийский государственный университет ; 66.9; 1.2; 1277; 0; Нет;бакалавриат;25;166.0;70000;0;0;0;0;45e50d68-f320-4053-a31b-6ee1d1e2f48e;424000, Республика Марий Эл, г. Йошкар-Ола, площадь им. Ленина, д.1;False;True;https://marsu.ru/abitur/pravila/plan_priema/
 Национальный исследовательский Томский государственный университет; 80.1; 0.7; 2109; 127; Да;бакалавриат;;;;магистратура;;;;9dcc834c-4241-4fcd-b482-005315a24f28;634050, г. Томск, пр. Ленина 36;True;True;http://abiturient.tsu.ru/sites/default/files/prilozhenie_1.1_bakalavriat_i_specialitet_16032021.pdf
 Орловский государственный университет имени И.С. Тургенева; 68.2; -0.9; 1581; 2; Нет;бакалавриат;25;163.0;104340;0;0;0;0;16de6da3-7e1f-45d8-a41e-ae074e9cb94c;302026, г.Орел, ул.Комсомольская, д.95;False;True;http://oreluniver.ru/file/documents/count_mest_bak_2022.pdf
 Тамбовский государственный университет имени Г.Р. Державина; 67.6; -0.9; 929; 0; Нет;бакалавриат;7;0.0;97500;0;0;0;0;eeaec74b-1739-42e4-9c36-02c2329fc9f9;392036, Центральный федеральный округ, Тамбовская область, г. Тамбов, ул. Интернациональная, 33;True;False;http://abiturient.tsutmb.ru/normativno_pravovoe_obespechenie_priema_2020_2021_goda/
 Ульяновский государственный педагогический университет имени И.Н. Ульянова; 66.2; -1.4; 764; 0; Да;бакалавриат;12;172.0;100966;магистратура;11;91.0;34711;bedea03b-1b4a-49b3-8d25-8c92a5da5525;432071 Российская Федерация, Ульяновская область, г. Ульяновск, площадь  Ленина, д. 4/5;False;True;https://ulspu.ru/upload/img/medialibrary/bac/kolichestvo-mest-dlya-priema-po-razlichnym-usloviyam-postupleniya-na-programmy-bakalavriata-v-2021-g..pdf
 Ульяновский государственный университет; 66.3; -1; 853; 0; Нет;бакалавриат;12;172.0;100966;магистратура;11;91.0;34711;bedea03b-1b4a-49b3-8d25-8c92a5da5525;432071 Российская Федерация, Ульяновская область, г. Ульяновск, площадь  Ленина, д. 4/5;False;True;https://ulspu.ru/upload/img/medialibrary/bac/kolichestvo-mest-dlya-priema-po-razlichnym-usloviyam-postupleniya-na-programmy-bakalavriata-v-2021-g..pdf
